;pharmacie;adresse;cp;coordonnee;telephone
0;Pharmacie Dansaert;110, Rue Antoine Dansaert;1000 Bruxelles;4.34403058791262,50.8517592525116;025135502
1;Pharmacie De La Cour;5, Rue de la Science;1000 Bruxelles;4.37091091490488,50.8413609025177;022300892
2;Pharmacie Coppejans;250, Rue Blaes;1000 Bruxelles;4.34379553891088,50.8347532825165;025127842
3;Pharmacie Kneip-Decoster;55, Chaussée de Charleroi;1060 Saint-Gilles;4.35642212990743,50.8316495925188;025380544
4;Pharmacie Dargent;29, Avenue Clemenceau;1070 Anderlecht;4.33475221891369,50.8402676725139;025212505
